species,scientificName,occurrenceStatus,decimalLatitude,decimalLongitude,eventDate,year
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.218056,-149.900278,34394,1994
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.325337,-149.569594,34596,1994
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,64.837778,-147.716389,33780,1992
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,60.55611,-151.246815,33438,1991
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.703522,-84.192093,25600,1970
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-23.421426,-57.434445,32918,1990
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,15.503883,-88.013862,32514,1989
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-6.551776,106.62913,23809,1965
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.530958,-149.083625,33087,1990
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,20.96737,-89.592586,26007,1971
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,5.852036,-55.203828,25427,1969
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,25.187764,-80.360297,30348,1983
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.254495,-149.693353,29329,1980
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,64.816374,-147.905155,33475,1991
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,11.893334,109.170167,25569,1970
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-17.821629,31.049226,1900-01-01/2011-12-07,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-20.754866,-42.878579,27485,1975
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,20.078971,-155.472766,37674,2003
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,61.253759,-149.69173,36223,1999
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,64.643095,-147.063823,33396,1991
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.375321,69.345116,21916,1960
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,-2.987829,33.182941,27211,1974
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,6.956831,124.24216,21386,1958
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,42.049467,-92.908037,32053,1987
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,42.017765,-93.315207,32835,1989
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,32.896176,-109.827581,33017,1990
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,44.998335,-93.356805,1900-01-01/1970-01-01,NA
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,30.267153,-97.743061,30454,1983
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,33.141861,-97.179026,29478,1980
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,33.182897,-97.28724,29465,1980
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,26.711703,-99.102733,31214,1985
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,32.755488,-97.330766,34912,1995
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,53.200336,8.207111,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.432617,10.932598,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,52.430298,13.09177,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.963593,10.11321,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.339466,11.051101,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.578934,7.504509,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,50.606033,9.466691,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.273113,12.179637,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,48.079563,11.66107,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,54.084141,10.408735,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.778912,9.867805,45822,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.571728,8.109065,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,54.089825,12.111324,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,49.47636,8.752363,45823,2025
Rhipicephalus sanguineus,"Rhipicephalus sanguineus Latreille, 1806",PRESENT,51.286404,6.792598,45823,2025
